8
愚	어리석을 우
憂	근심 우
韻	운 운
越	넘을 월
謂	이를 위
幼	어릴 유
幽	그윽할 유
悠	멀 유
柔	부드러울 유
猶	오히려 유
維	벼리 유
裕	넉넉할 유
誘	꾈 유
潤	불을 윤
乙	새 을
已	이미 이
翼	날개 익
忍	참을 인
逸	편안할 일
壬	북방 임
慈	사랑 자
暫	잠깐 잠
潛	잠길 잠
丈	어른 장
掌	손바닥 장
粧	단장할 장
臟	오장 장
莊	씩씩할 장
葬	장사지낼 장
藏	감출 장
栽	심을 재
裁	옷마를 재
載	실을 재
抵	막을 저
著	나타날 저
寂	고요할 적
摘	딸 적
笛	피리 적
跡	발자취 적
蹟	자취 적
漸	점점 점
井	우물 정
亭	정자 정
廷	조정 정
征	칠 정
淨	깨끗할 정
貞	곧을 정
頂	정수리 정
諸	모두 제
齊	가지런할 제
兆	억조 조
照	비칠 조
燥	마를 조
縱	세로 종
坐	앉을 좌
宙	집 주
柱	기둥 주
洲	물가 주
卽	곧 즉
憎	미울 증
曾	일찍 증
症	증세 증
蒸	찔 증
之	갈 지
池	못 지
遲	더딜 지
振	떨칠 진
辰	별 진
辰	때 신
鎭	진압할 진
陳	묵을 진
疾	병 질
秩	차례 질
執	잡을 집
徵	부를 징
徵	음률이름 치
此	이 차
贊	도울 찬
倉	곳집 창
昌	창성할 창
蒼	푸를 창
彩	채색 채
菜	나물 채
策	꾀 책
妻	아내 처
尺	자 척
戚	친척 척
拓	넓힐 척
拓	박을 탁
淺	얕을 천
賤	천할 천
踐	밟을 천
哲	밝을 철
徹	통할 철
礎	주춧돌 초
肖	닮을 초
超	뛰어넘을 초
促	재촉할 촉
觸	닿을 촉
催	재촉할 최
追	쫓을 추
衝	찌를 충
吹	불 취
醉	취할 취
側	곁 측
値	값 치
恥	부끄러울 치
稚	어릴 치
沈	잠길 침
沈	성 심
塔	탑 탑
殆	거의 태
泰	클 태
澤	못 택
兎	토끼 토
版	판목 판
片	조각 편
弊	폐단 폐
肺	허파 폐
浦	개 포
楓	단풍 풍
彼	저 피
皮	가죽 피
皮	가죽 비
被	입을 피
畢	마칠 필
何	어찌 하
賀	하례할 하
鶴	학 학
割	벨 할
含	머금을 함
陷	빠질 함
恒	항상 항
項	항목 항
響	울릴 향
獻	드릴 헌
懸	달 현
玄	검을 현
脅	위협할 협
慧	슬기로울 혜
浩	넓을 호
胡	되 호
虎	범 호
豪	호걸 호
惑	미혹할 혹
魂	넋 혼
忽	갑자기 홀
洪	넓을 홍
禍	재앙 화
換	바꿀 환
還	돌아올 환
皇	임금 황
悔	뉘우칠 회
懷	품을 회
劃	그을 획
獲	얻을 획
橫	가로 횡
戱	놀이 희
稀	드물 희
3
架	시렁 가
却	물리칠 각
姦	간음할 간
渴	목마를 갈
鋼	강철 강
慨	슬퍼할 개
皆	다 개
蓋	덮을 개
憩	쉴 게
絹	비단 견
肩	어깨 견
遣	보낼 견
卿	벼슬 경
庚	별 경
徑	지름길 경
硬	굳을 경
竟	마침내 경
桂	계수나무 계
癸	북방 계
癸	천간 계
枯	마를 고
顧	돌아볼 고
坤	따 곤
戈	창 과
瓜	외 과
郭	둘레 곽
郭	외성 곽
掛	걸 괘
塊	흙덩이 괴
愧	부끄러울 괴
矯	바로잡을 교
郊	들 교
丘	언덕 구
俱	함께 구
懼	두려워할 구
狗	개 구
苟	구차할 구
驅	몰 구
鷗	갈매기 구
龜	거북 귀
龜	땅이름 구
龜	터질 균
厥	그 궐
叫	부르짖을 규
閨	안방 규
菌	버섯 균
僅	겨우 근
斤	근 근
謹	삼갈 근
肯	즐길 긍
幾	몇 기
忌	꺼릴 기
旣	이미 기
棄	버릴 기
欺	속일 기
豈	어찌 기
飢	주릴 기
騎	말탈 기
那	어찌 나
奈	어찌 내
奈	나락 나
濃	짙을 농
惱	번뇌할 뇌
泥	진흙 니
潭	못 담
畓	논 답
糖	사탕 탕
糖	엿 당
貸	빌릴 대
倒	넘어질 도
挑	돋울 도
桃	복숭아 도
渡	건널 도
稻	벼 도
跳	뛸 도
篤	도타울 독
敦	도타울 돈
豚	돼지 돈
凍	얼 동
桐	오동나무 동
鈍	둔할 둔
洛	물이름 락
爛	빛날 란
濫	넘칠 람
藍	쪽 람
掠	노략질할 략
梁	들보 량
諒	살펴알 량
憐	불쌍히여길 련
蓮	연꽃 련
劣	못할 렬
裂	찢어질 렬
廉	청렴할 렴
零	떨어질 령
零	영 령
祿	녹 록
鹿	사슴 록
雷	우레 뢰
了	마칠 료
屢	여러 루
淚	눈물 루
漏	샐 루
累	여러 루
梨	배 리
隣	이웃 린
磨	갈 마
麻	삼 마
慢	거만할 만
晩	늦을 만
漫	흩어질 만
蠻	오랑캐 만
忘	잊을 망
忙	바쁠 망
罔	없을 망
茫	아득할 망
埋	묻을 매
媒	중매 매
麥	보리 맥
免	면할 면
冥	어두울 명
募	모을 모
暮	저물 모
某	아무 모
矛	창 모
沐	머리감을 목
卯	토끼 묘
廟	사당 묘
苗	모 묘
戊	천간 무
霧	안개 무
墨	먹 묵
尾	꼬리 미
眉	눈썹 미
迷	미혹할 미
憫	민망할 민
敏	민첩할 민
蜜	꿀 밀
泊	머무를 박
泊	배댈 박
叛	배반할 반
盤	소반 반
般	일반 반
返	돌이킬 반
拔	뽑을 발
倣	본뜰 방
傍	곁 방
芳	꽃다울 방
邦	나라 방
杯	잔 배
栢	측백 백
煩	번거로울 번
飜	번역할 번
汎	넓을 범
辨	분별할 변
屛	병풍 병
竝	나란히 병
譜	족보 보
卜	점 복
蜂	벌 봉
鳳	새 봉
腐	썩을 부
膚	살갗 부
賦	부세 부
赴	갈 부
墳	무덤 분
弗	말 불
弗	아닐 불
拂	떨칠 불
崩	무너질 붕
朋	벗 붕
賓	손 빈
頻	자주 빈
聘	부를 빙
似	닮을 사
巳	뱀 사
捨	버릴 사
斜	비낄 사
斯	이 사
蛇	긴뱀 사
詐	속일 사
賜	줄 사
削	깍을 삭
朔	초하루 삭
酸	실 산
償	갚을 상
嘗	맛볼 상
桑	뽕나무 상
祥	상서 상
塞	막힐 색
塞	변방 새
庶	여러 서
敍	펼 서
暑	더울 서
昔	예 석
析	쪼갤 석
禪	선 선
涉	건널 섭
召	부를 소
昭	밝을 소
燒	사를 소
蔬	나물 소
騷	떠들 소
粟	조 속
訟	송사할 송
誦	욀 송
鎖	쇠사슬 쇄
囚	가둘 수
睡	졸음 수
誰	누구 수
遂	드디어 수
雖	비록 수
須	모름지기 수
孰	누구 숙
循	돌 순
殉	따라죽을 순
盾	방패 순
脣	입술 순
戌	개 술
濕	젖을 습
升	되 승
矢	화살 시
伸	펼 신
晨	새벽 신
辛	매울 신
尋	찾을 심
牙	어금니 아
芽	싹 아
餓	주릴 아
岳	큰산 악
雁	기러기 안
謁	뵐 알
殃	재앙 앙
涯	물가 애
厄	액 액
